GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US06073019303,06073019303,"Census Tract 193.03, San Diego County, California",31.8,5.9,27.9,4.7,35.7,6.6
1400000US06073019403,06073019403,"Census Tract 194.03, San Diego County, California",33.2,2.9,33.0,3.9,33.4,5.8
1400000US06073019404,06073019404,"Census Tract 194.04, San Diego County, California",30.8,5.1,30.4,7.4,31.1,5.8
1400000US06073019405,06073019405,"Census Tract 194.05, San Diego County, California",31.7,2.7,30.0,7.5,32.0,2.4
1400000US06073019406,06073019406,"Census Tract 194.06, San Diego County, California",33.8,2.5,32.6,3.7,34.5,2.5
1400000US06073019501,06073019501,"Census Tract 195.01, San Diego County, California",26.7,1.6,28.9,3.3,23.9,2.9
1400000US06073019502,06073019502,"Census Tract 195.02, San Diego County, California",28.0,1.8,27.7,3.3,28.1,1.8
1400000US06073019503,06073019503,"Census Tract 195.03, San Diego County, California",31.5,3.1,28.7,5.0,32.5,2.3
1400000US06073019601,06073019601,"Census Tract 196.01, San Diego County, California",38.0,5.5,35.8,3.8,43.2,5.4
1400000US06073019602,06073019602,"Census Tract 196.02, San Diego County, California",39.7,2.8,40.6,2.7,37.6,5.4
1400000US06073019701,06073019701,"Census Tract 197.01, San Diego County, California",34.5,2.0,33.4,2.0,37.3,6.3
1400000US06073019702,06073019702,"Census Tract 197.02, San Diego County, California",38.7,2.4,38.0,4.8,39.0,3.2
1400000US06073019803,06073019803,"Census Tract 198.03, San Diego County, California",39.9,3.6,39.3,7.8,40.4,5.5
1400000US06073019804,06073019804,"Census Tract 198.04, San Diego County, California",42.8,3.9,43.8,6.3,42.0,3.1
1400000US06073019805,06073019805,"Census Tract 198.05, San Diego County, California",37.5,3.9,33.2,7.5,41.1,3.7
1400000US06073019806,06073019806,"Census Tract 198.06, San Diego County, California",37.3,2.3,36.6,3.7,38.5,3.2
1400000US06073019808,06073019808,"Census Tract 198.08, San Diego County, California",61.1,3.4,51.1,14.8,66.8,5.2
1400000US06073019809,06073019809,"Census Tract 198.09, San Diego County, California",50.2,2.8,48.9,4.8,50.8,2.6
1400000US06073019902,06073019902,"Census Tract 199.02, San Diego County, California",36.7,6.5,43.9,8.1,31.5,3.8
1400000US06073019903,06073019903,"Census Tract 199.03, San Diego County, California",42.5,6.3,42.3,8.0,42.8,7.7
1400000US06073019904,06073019904,"Census Tract 199.04, San Diego County, California",37.4,3.9,37.1,4.0,38.8,5.6
1400000US06073019905,06073019905,"Census Tract 199.05, San Diego County, California",42.9,4.0,43.9,4.2,40.4,6.9
1400000US06073020013,06073020013,"Census Tract 200.13, San Diego County, California",38.5,1.3,37.8,5.2,39.0,2.5
1400000US06073020014,06073020014,"Census Tract 200.14, San Diego County, California",43.3,2.2,44.7,4.7,42.3,2.8
1400000US06073020015,06073020015,"Census Tract 200.15, San Diego County, California",48.7,3.0,49.4,6.5,48.5,2.6
1400000US06073020016,06073020016,"Census Tract 200.16, San Diego County, California",43.3,1.8,42.5,3.0,43.8,1.4
1400000US06073020017,06073020017,"Census Tract 200.17, San Diego County, California",35.4,2.6,36.0,6.8,32.0,6.6
1400000US06073020018,06073020018,"Census Tract 200.18, San Diego County, California",32.5,2.2,33.9,1.8,30.8,3.7
1400000US06073020019,06073020019,"Census Tract 200.19, San Diego County, California",48.7,3.6,45.9,2.1,52.0,4.4
1400000US06073020020,06073020020,"Census Tract 200.20, San Diego County, California",37.4,1.9,39.4,3.2,36.3,2.7
1400000US06073020021,06073020021,"Census Tract 200.21, San Diego County, California",30.3,1.2,30.0,3.2,30.7,2.3
1400000US06073020022,06073020022,"Census Tract 200.22, San Diego County, California",33.5,5.2,31.3,5.3,36.0,5.6
1400000US06073020023,06073020023,"Census Tract 200.23, San Diego County, California",40.0,3.7,34.6,2.4,44.3,3.8
1400000US06073020024,06073020024,"Census Tract 200.24, San Diego County, California",42.7,1.7,41.3,7.2,44.6,4.3
1400000US06073020025,06073020025,"Census Tract 200.25, San Diego County, California",35.2,1.9,34.0,4.9,37.2,3.8
1400000US06073020026,06073020026,"Census Tract 200.26, San Diego County, California",47.1,3.2,43.3,3.7,51.1,5.9
1400000US06073020027,06073020027,"Census Tract 200.27, San Diego County, California",37.5,1.2,37.9,1.6,37.0,1.7
1400000US06073020028,06073020028,"Census Tract 200.28, San Diego County, California",28.4,1.4,27.8,2.1,28.9,2.5
1400000US06073020029,06073020029,"Census Tract 200.29, San Diego County, California",32.9,3.6,31.1,5.8,33.5,7.0
1400000US06073020103,06073020103,"Census Tract 201.03, San Diego County, California",42.5,3.3,35.8,6.1,45.1,2.1
1400000US06073020105,06073020105,"Census Tract 201.05, San Diego County, California",38.1,4.4,33.9,2.8,41.8,6.6
1400000US06073020106,06073020106,"Census Tract 201.06, San Diego County, California",35.1,5.0,33.5,6.7,35.6,4.9
1400000US06073020107,06073020107,"Census Tract 201.07, San Diego County, California",29.8,1.8,30.6,2.9,29.5,2.4
1400000US06073020108,06073020108,"Census Tract 201.08, San Diego County, California",28.2,3.7,27.4,3.2,29.7,4.4
1400000US06073020109,06073020109,"Census Tract 201.09, San Diego County, California",31.2,3.2,34.7,2.6,27.9,4.6
1400000US06073020202,06073020202,"Census Tract 202.02, San Diego County, California",29.1,2.7,28.6,4.8,29.7,3.4
1400000US06073020206,06073020206,"Census Tract 202.06, San Diego County, California",30.0,2.7,30.2,3.1,29.3,3.5
1400000US06073020207,06073020207,"Census Tract 202.07, San Diego County, California",27.7,1.1,28.3,1.9,27.2,1.3
1400000US06073020208,06073020208,"Census Tract 202.08, San Diego County, California",34.2,4.7,30.8,4.2,36.8,3.8
1400000US06073020209,06073020209,"Census Tract 202.09, San Diego County, California",34.4,1.4,34.0,2.1,35.1,3.1
1400000US06073020210,06073020210,"Census Tract 202.10, San Diego County, California",30.1,3.9,33.2,3.9,28.2,3.4
1400000US06073020211,06073020211,"Census Tract 202.11, San Diego County, California",30.4,2.7,29.8,4.4,30.8,2.9
1400000US06073020213,06073020213,"Census Tract 202.13, San Diego County, California",23.5,2.2,21.5,5.3,24.3,4.4
1400000US06073020214,06073020214,"Census Tract 202.14, San Diego County, California",25.1,5.6,24.9,6.6,25.4,6.6
1400000US06073020304,06073020304,"Census Tract 203.04, San Diego County, California",48.3,4.1,46.7,4.6,51.9,7.6
1400000US06073020305,06073020305,"Census Tract 203.05, San Diego County, California",40.0,5.3,39.2,7.5,42.7,6.0
1400000US06073020306,06073020306,"Census Tract 203.06, San Diego County, California",33.8,2.2,32.2,4.4,35.1,2.5
1400000US06073020307,06073020307,"Census Tract 203.07, San Diego County, California",40.4,2.2,34.8,6.9,43.9,3.0
