TRACT,YEAR,HOUSING TYPE,POPULATION
103,2012,Group Quarters - Other,0
103,2012,Household,4569
103,2020,Group Quarters - College,0
103,2020,Group Quarters - Military,0
103,2020,Group Quarters - Other,0
103,2020,Household,4634
103,2025,Group Quarters - College,0
103,2025,Group Quarters - Military,0
103,2025,Group Quarters - Other,0
103,2025,Household,4669
103,2030,Group Quarters - College,0
103,2030,Group Quarters - Military,0
103,2030,Group Quarters - Other,0
103,2030,Household,4726
103,2035,Group Quarters - College,0
103,2035,Group Quarters - Military,0
103,2035,Group Quarters - Other,0
103,2035,Household,4718
103,2040,Group Quarters - College,0
103,2040,Group Quarters - Military,0
103,2040,Group Quarters - Other,0
103,2040,Household,4745
103,2045,Group Quarters - College,0
103,2045,Group Quarters - Military,0
103,2045,Group Quarters - Other,0
103,2045,Household,4751
103,2050,Group Quarters - College,0
103,2050,Group Quarters - Military,0
103,2050,Group Quarters - Other,0
103,2050,Household,4774
104.01,2012,Group Quarters - College,0
104.01,2012,Group Quarters - Military,0
104.01,2012,Group Quarters - Other,0
104.01,2012,Household,2494
104.01,2020,Group Quarters - College,0
104.01,2020,Group Quarters - Military,0
104.01,2020,Group Quarters - Other,0
104.01,2020,Household,2533
104.01,2025,Group Quarters - College,0
104.01,2025,Group Quarters - Military,0
104.01,2025,Group Quarters - Other,0
104.01,2025,Household,2662
104.01,2030,Group Quarters - College,0
104.01,2030,Group Quarters - Military,0
104.01,2030,Group Quarters - Other,0
104.01,2030,Household,2637
104.01,2035,Group Quarters - College,0
104.01,2035,Group Quarters - Military,0
104.01,2035,Group Quarters - Other,0
104.01,2035,Household,2696
104.01,2040,Group Quarters - College,0
104.01,2040,Group Quarters - Military,0
104.01,2040,Group Quarters - Other,0
104.01,2040,Household,2613
104.01,2045,Group Quarters - College,0
104.01,2045,Group Quarters - Military,0
104.01,2045,Group Quarters - Other,0
104.01,2045,Household,2584
104.01,2050,Group Quarters - College,0
104.01,2050,Group Quarters - Military,0
104.01,2050,Group Quarters - Other,0
104.01,2050,Household,2557
104.02,2012,Group Quarters - College,0
104.02,2012,Group Quarters - Military,0
104.02,2012,Group Quarters - Other,11
104.02,2012,Household,5654
104.02,2020,Group Quarters - College,0
104.02,2020,Group Quarters - Military,0
104.02,2020,Group Quarters - Other,10
104.02,2020,Household,5778
104.02,2025,Group Quarters - College,2
104.02,2025,Group Quarters - Military,0
104.02,2025,Group Quarters - Other,10
104.02,2025,Household,5821
104.02,2030,Group Quarters - College,2
104.02,2030,Group Quarters - Military,0
104.02,2030,Group Quarters - Other,11
104.02,2030,Household,5873
104.02,2035,Group Quarters - College,2
104.02,2035,Group Quarters - Military,0
104.02,2035,Group Quarters - Other,12
104.02,2035,Household,6034
104.02,2040,Group Quarters - College,2
104.02,2040,Group Quarters - Military,0
104.02,2040,Group Quarters - Other,13
104.02,2040,Household,6229
104.02,2045,Group Quarters - College,2
104.02,2045,Group Quarters - Military,0
104.02,2045,Group Quarters - Other,14
104.02,2045,Household,6225
104.02,2050,Group Quarters - College,2
104.02,2050,Group Quarters - Military,0
104.02,2050,Group Quarters - Other,15
104.02,2050,Household,6223
105.01,2012,Group Quarters - College,0
105.01,2012,Group Quarters - Military,0
105.01,2012,Group Quarters - Other,0
105.01,2012,Household,1438
105.01,2020,Group Quarters - College,0
105.01,2020,Group Quarters - Military,0
105.01,2020,Group Quarters - Other,0
105.01,2020,Household,1472
105.01,2025,Group Quarters - College,0
105.01,2025,Group Quarters - Military,0
105.01,2025,Group Quarters - Other,0
105.01,2025,Household,1629
105.01,2030,Group Quarters - College,0
105.01,2030,Group Quarters - Military,0
105.01,2030,Group Quarters - Other,0
105.01,2030,Household,1643
105.01,2035,Group Quarters - College,0
105.01,2035,Group Quarters - Military,0
105.01,2035,Group Quarters - Other,0
