GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073018511,06073018511,"Census Tract 185.11, San Diego County, California",5282,364,2991,442,115,80,12,18,252,168,0,132,1561,454,351,176,155,97,196,167
1400000US06073018512,06073018512,"Census Tract 185.12, San Diego County, California",3875,487,2476,274,192,147,8,14,64,79,40,62,1022,407,73,90,73,90,0,132
1400000US06073018513,06073018513,"Census Tract 185.13, San Diego County, California",8184,632,5280,466,487,273,0,132,789,239,0,132,814,402,814,328,454,248,360,187
1400000US06073018514,06073018514,"Census Tract 185.14, San Diego County, California",7986,610,5024,699,574,309,47,51,766,260,231,248,993,602,351,170,60,52,291,159
1400000US06073018515,06073018515,"Census Tract 185.15, San Diego County, California",3774,313,3118,350,41,55,0,132,247,170,18,27,210,166,140,90,31,50,109,71
1400000US06073018516,06073018516,"Census Tract 185.16, San Diego County, California",4657,319,2731,490,312,192,0,132,353,180,7,15,1084,463,170,114,88,99,82,58
1400000US06073018517,06073018517,"Census Tract 185.17, San Diego County, California",4267,378,2780,407,243,219,15,23,312,176,0,132,771,371,146,88,56,60,90,66
1400000US06073018518,06073018518,"Census Tract 185.18, San Diego County, California",2871,405,1551,419,95,70,55,68,143,102,0,132,888,400,139,98,0,132,139,98
1400000US06073018519,06073018519,"Census Tract 185.19, San Diego County, California",5827,616,3162,747,299,176,50,47,223,236,186,181,1754,470,153,85,40,39,113,78
1400000US06073018601,06073018601,"Census Tract 186.01, San Diego County, California",4420,408,2658,437,53,42,14,22,543,216,123,125,712,305,317,126,71,51,246,116
1400000US06073018603,06073018603,"Census Tract 186.03, San Diego County, California",5585,616,2751,458,325,150,0,132,312,160,0,132,1894,601,303,212,34,36,269,201
1400000US06073018607,06073018607,"Census Tract 186.07, San Diego County, California",9416,844,5298,711,485,274,0,132,468,155,109,103,2249,753,807,378,287,211,520,280
1400000US06073018608,06073018608,"Census Tract 186.08, San Diego County, California",3730,424,2465,393,122,80,6,10,419,196,0,132,475,344,243,137,86,99,157,97
1400000US06073018609,06073018609,"Census Tract 186.09, San Diego County, California",6150,472,3578,574,349,210,0,132,514,167,62,135,1329,398,318,170,120,117,198,134
1400000US06073018610,06073018610,"Census Tract 186.10, San Diego County, California",6710,586,3035,622,477,189,68,66,810,321,93,86,1874,649,353,135,136,89,217,90
1400000US06073018611,06073018611,"Census Tract 186.11, San Diego County, California",7150,660,3554,635,409,292,34,54,853,360,121,153,1882,527,297,173,159,144,138,87
1400000US06073018612,06073018612,"Census Tract 186.12, San Diego County, California",3537,285,2519,434,148,102,0,132,200,139,0,132,327,201,343,240,167,187,176,148
